code;name;latitude;longitude;services
PA235;Pedro Lagos / Viel;-33.46719681;-70.65604698;125-302-302N
PA236;Victoria / Viel;-33.46489574;-70.65615384;125-302-302N
PA237;Santiago / Viel;-33.46291938;-70.65625612;125-302-302N
PA238;(M) Parque O'higgins;-33.46088907;-70.65634662;125-302-302N
PA239;Museo Militar;-33.45680927;-70.6566133;125-302-302N
PA24;Copiapó / Lord Cochrane;-33.45627017;-70.65376273;113-115-509
PA240;10 De Julio / Manuel Rodríguez;-33.45485963;-70.65741539;125-302-302N
PA241;Padre M De Olivares / Manuel Rodríguez;-33.44987799;-70.65903112;302-302N
PA243;(M) Santa Ana;-33.43949417;-70.65931746;201e-403-D09N
PA244;(M) Santa Ana;-33.43841897;-70.65946909;302-303e
PA245;Teatro Teletón;-33.43612431;-70.6597696;303-307-314-B29
PA247;Brasil - Rosas;-33.43616323;-70.66426647;402
PA248;Ricardo Cumming / Rosas;-33.43658312;-70.66858777;402-505
PA249;García Reyes / Rosas;-33.43675341;-70.67134465;402-505
PA25;San Ignacio / 10 De Julio;-33.45441854;-70.6553306;113-115-D03
PA250;Cueto / Rosas;-33.43683779;-70.67244341;402-505
PA251;Maipú / Rosas;-33.43709671;-70.67664337;402-505
PA259;(M) Bellas Artes;-33.43654235;-70.64259968;307-314-517-B27
PA260;Santo Domingo - Miraflores;-33.4355287;-70.64559232;502c-504-505-508-517-B27
PA261;San Antonio - Santo Domingo;-33.43587066;-70.64836314;214-303-307-307e-314-315e
PA262;(M) Plaza De Armas;-33.4361503;-70.65106826;214-303-307-314
PA264;(M) Santa Ana;-33.43685119;-70.65734175;402-504-505-508-514
PA265;San Pablo / Manuel Rodríguez;-33.43479623;-70.65994868;303-307-314-409-B29
PA271;Plaza Brasil;-33.44071518;-70.66510638;119-J03
PA272;Moneda / Brasil;-33.44307663;-70.66520529;119-121-J03
PA273;Alameda / Brasil;-33.44661852;-70.66470283;119-121
PA274;Sazié / Almirante Latorre;-33.45007176;-70.66475806;119-121
PA275;Toesca / Club Hípico;-33.45369283;-70.66507471;119-121
PA276;Escuela De Ingeniería;-33.45628169;-70.66502738;119-121
PA277;España - Blanco;-33.45771449;-70.66913241;119-507
PA278;Bascuñán - Blanco;-33.4583331;-70.67341558;506-506e-506v-507-509
PA279;Lincoln / San Alfonso;-33.45943349;-70.67473859;119-511-I18
PA28;(M) La Moneda;-33.44572322;-70.65681126;106-109N-303-314-315e-404-419-423-424-481-518-D09N
PA280;Fray Luis De La Peña / San Alfonso;-33.46256358;-70.67401334;119-345-511-I18
PA281;Espiñeira / San Alfonso;-33.4648437;-70.67345464;119-345-511-I18
PA282;Bascuñán Guerrero / Antofagasta;-33.46652367;-70.67192673;119
PA283;Manuel De Amat / El Mirador;-33.46806212;-70.6701916;119
PA284;Gral Rondizzoni / El Mirador;-33.47030871;-70.66810413;119
PA285;Pedro Montt / El Mirador;-33.47325903;-70.66531981;119-511
